Channel Title,No of Subscribers,Business Email,Views/100 Videos,Likes/100 Videos,Comments/100 Videos,Shares/100 Videos,Facebook URL,Instagram URL,Twitter URL
KSI,18826388,,716225996,30593328,4217044,0,['https://www.facebook.com/KSIOlajidebt'],"['http://instagram.com/ksi', 'http://instagram.com/z_azad']","['http://www.twitter.com/#!/KSIOlajidebt', 'http://twitter.com/_zazad']"
Little Kelly Minecraft,2544135,,17665488,185615,48494,0,['https://www.facebook.com/TheLittleClubHQ/'],"['https://instagram.com/littlekelly23/', 'https://www.instagram.com/littlekelly23/?hl=en']","['https://twitter.com/little_kel', 'https://twitter.com/Little_Kel']"
Kelly and David Vlogs,33413,,645150,23780,11388,0,,,
Little Kelly Roblox,81579,,4910808,59033,12596,0,,,
Little Kelly Plays,111949,,9859204,114352,39199,0,,,
Sharky Roblox,76997,,2105494,29822,3471,0,,,
Little RoPo & The MineVengers,1088450,,8442265,122630,19290,0,['https://www.facebook.com/TheLittleClubHQ/'],,
The Little Club Adventures,389791,,1058691,14704,2548,0,"['https://www.facebook.com/LittleClubAd', 'https://www.facebook.com/TheLittleClubHQ/', 'https://www.facebook']","['https://www.instagram.com/thelittlecl', 'https://www.instagram.com/thelittleclubadventures']",['https://twitter.com/AlfieLittleClub']
Baby Max,456919,,2275238,30612,3220,0,['https://www.facebook.com/Baby-Max-1231901566843796/'],['https://www.instagram.com/babymaxyt/'],
Little Leo,86097,,1690215,35143,14263,0,['https://www.facebook.com/TheLittleClubHQ'],['https://www.instagram.com/littleleo_yt/'],
Bruno The Bear,523690,,4231648,46876,8090,0,,['https://www.instagram.com/brunothebear.yt/'],
Donut The Dog - Minecraft Adventures - Little Club,955535,,11581978,92085,11782,0,,['https://www.instagram.com/barmaguire7/?hl=en'],['https://twitter.com/donutthedog_yt']
Cinemassacre,2607352,,44109491,1427648,220794,0,,,"['http://twitter.com/Mike_Matei', 'https://twitter.com/Mike_Matei', 'https://twitter.com/schottr', 'http://twitter.com/cinemassacre', 'https://twitter.com/cinemassacre']"
FaZe Rug,9111074,,240912568,12547004,1997632,0,,"['https://www.instagram.com/rugfaze/', 'https://instagram.com/rugfaze']",['https://twitter.com/FaZeRug']
FaZe Rain,5209941,,117436240,6951432,659508,0,['https://www.facebook.com/RainFaZe'],"['https://instagram.com/Nordan', 'http://instagram.com/Nordan']","['http://www.twitter.com/FaZe_Rain', 'https://twitter.com/FaZe_Rain', 'https://twitter.com', 'http://twitter.com/FaZe_Rain']"
FGTeeV,6901462,,1238867990,6132632,1098270,0,,['https://www.instagram.com/funnelvisionfam/'],
UnspeakableGaming,4880217,,68329196,1913619,336634,0,['https://www.facebook.com/Nathan-Unspe'],"['https://www.instagram.com/unspeakable', 'http://instagram.com/unspeakable']","['https://twitter.com/UnspeakableGame', 'http://twitter.com/UnspeakableGame']"
Unspeakable,727140,,39121571,1340224,371764,0,,"['https://www.instagram.com/unspeakable', 'http://instagram.com/unspeakable']",['https://twitter.com/UnspeakableGame']
UnspeakablePlays,1353446,,21786749,1026354,140375,0,,"['https://www.instagram.com/unspeakable', 'http://instagram.com/unspeakable']",['https://twitter.com/UnspeakableGame']
ASWDFZXCVBHGTYYN,230574,,12234974,289506,67870,0,,['https://www.instagram.com/aswdfzxcvbhgtyn/?hl=en'],['https://twitter.com/ASWDFZXCVBHGTY']
Unspeakable Clothing,37024,,0,0,0,0,,,
MooseCraft,2444055,,19242323,460752,83673,0,['https://www.facebook.com/ItsMooseCraft'],"['https://www.instagram.com/ItsMooseCraft', 'https://www.instagram.com/itsmoosecraft']",['https://twitter.com/ItsMooseCraft']
The Squad,57164,,0,0,0,0,,,
CyclonePlays,221112,,2285000,132495,27222,0,,"['https://www.instagram.com/itsmecyclone/', 'https://www.instagram.com/itsmecyclone']",['https://twitter.com/ItsMeCyclone']
